ip,city,state,country,lat,lon,postal_code,type,asn,isp,domain
198.51.100.10,New York,New York,United States,40.7128,-74.006,10001,corporate,11351,Charter Communications,charter.com
198.51.100.11,New York,New York,United States,40.7128,-74.006,10001,corporate,11351,Charter Communications,charter.com
198.51.100.25,San Francisco,California,United States,37.7749,-122.4194,94105,corporate,7922,Comcast Cable Communications,comcast.net
198.51.100.26,San Francisco,California,United States,37.7749,-122.4194,94105,corporate,7922,Comcast Cable Communications,comcast.net
203.0.113.50,London,England,United Kingdom,51.5074,-0.1278,EC2R 8AH,corporate,2856,British Telecommunications,bt.com
203.0.113.51,London,England,United Kingdom,51.5074,-0.1278,EC2R 8AH,corporate,2856,British Telecommunications,bt.com
192.0.2.100,Seattle,Washington,United States,47.6062,-122.3321,98101,remote,209,CenturyLink Communications,centurylink.net
192.0.2.101,Austin,Texas,United States,30.2672,-97.7431,73301,remote,7018,AT&T Services,att.net
192.0.2.102,Denver,Colorado,United States,39.7392,-104.9903,80202,remote,7922,Comcast Cable Communications,comcast.net
192.0.2.103,Chicago,Illinois,United States,41.8781,-87.6298,60601,remote,11351,Charter Communications,charter.com
192.0.2.104,Portland,Oregon,United States,45.5152,-122.6784,97201,remote,20115,Charter Communications,charter.com
192.0.2.105,Boston,Massachusetts,United States,42.3601,-71.0589,02101,remote,22773,Cox Communications,cox.net
203.0.113.120,Toronto,Ontario,Canada,43.6532,-79.3832,M5V 2H1,remote,812,Rogers Communications,rogers.com
203.0.113.121,Berlin,Berlin,Germany,52.5200,13.4050,10115,remote,3320,Deutsche Telekom,telekom.de
198.51.100.200,Ashburn,Virginia,United States,39.0438,-77.4874,20147,vpn,14618,Amazon.com,amazon.com
